gene,gs001,gs002,gs003,gs004,gs005,gs006,gs007,gs008,gs009,gs010,gs011,gs012,gs013,gs014,gs015,gs016,gs017,gs018,gs019,gs020,gs021,gs022,gs023,gs024
A2M,140.322486102194,134.599762296544,136.653941962435,183.211680322306,127.131545228511,114.392632308301,122.106607920106,144.56431154575,99.5512740040028,154.325591685353,205.316032831258,124.572998780231,186.949668341232,135.42023899733,167.636731129025,185.523200854496,211.705947817816,211.258483098492,222.604683865892,124.204106791239,152.09050314682,115.711857969214,171.405498119826,170.613270099749
ABCB1,130.585823801225,154.789726641026,126.531427742996,96.1861321692108,137.519725967027,131.823890564804,109.895947128095,127.75450787764,132.735032005337,124.43005821751,122.195009159088,111.557909355431,120.335418702402,145.142717694574,134.690783970719,141.94392548599,133.78160871875,120.410125179004,108.728877379583,141.705594566368,146.559939396027,142.010007507672,153.825447030613,123.116535566486
ABCF1,137.458761896027,157.033056012635,121.470170633276,128.248176225614,148.402581978806,135.636978308414,147.964477832599,127.75450787764,143.796284672449,159.981503422513,164.821175144816,136.34855587886,131.079652515117,135.42023899733,148.256762212375,118.286604571658,126.885649506444,133.388462024645,141.54055043496,133.801696861471,143.79465752063,131.490747692289,188.985549209039,131.240976999807
ABL1,144.904444832062,107.679809837236,194.858398724213,96.1861321692108,138.01440124029,128.010802821194,118.515237098926,141.202350812128,143.796284672449,110.694272570122,130.009806256471,143.785749835889,124.633112227488,132.642387940975,116.279813499902,136.963436872446,139.298376088596,147.087817583933,151.191042510071,142.834722809925,131.074360893805,165.678342092284,149.43043425831,123.741492599818
ACOT12,118.558182135323,109.923139208845,129.062056297855,123.667884217557,122.184792495884,141.628973334087,124.261430412813,121.871076593801,117.986695115855,124.43005821751,119.353264760039,122.713700290974,120.335418702402,132.642387940975,116.279813499902,118.286604571658,122.058478057829,124.736237460884,124.813030838101,128.720619765466,113.376556891266,184.087046769205,123.060357624491,145.614988766453
ACSF3,151.777382926863,161.519714755853,111.347656413836,114.507300201441,155.822711077747,153.068236564917,140.78173619024,130.275978427856,162.231705784301,151.901629512285,152.033325349098,147.504346814403,150.419273378003,163.198749560885,133.721785524887,156.885391326621,154.46948635567,150.692911152167,155.694605478456,136.059953348584,158.174123272693,157.788897230747,140.640408713704,160.613957566431
ACTA2,162.086790069065,161.519714755853,217.634055717952,261.076644459287,162.253489630162,139.99479287254,135.035542876352,118.509115860179,158.54462156193,122.814083435464,122.90544525885,139.447386694289,160.089083809446,109.725116726042,135.659782416552,134.473192565675,121.368882136598,117.526050324417,131.246692221508,124.204106791239,129.968248143646,173.567786953821,369.181072873472,114.367137099832
ACTB,4158.12754735481,3192.25769579971,4248.92534360979,3765.0000306234,3164.93239833468,2321.62570903799,2463.68038332919,2428.17613985856,5110.29873220548,4613.60800274014,4489.24571439695,2579.4667707628,5679.40199340088,1572.9581606613,2948.66227066834,2562.46139166814,2697.00964793316,2116.18992455316,2360.51036157213,2248.09433292142,2608.76692124928,1633.11508633823,5568.4811825082,2896.67584949574
ACTR3B,146.049934514528,141.329750411372,139.184570517295,164.890512290076,143.45582924618,122.563534616037,181.723363551687,154.650193746616,180.667126896153,141.397793428988,149.902017049811,148.124112977489,146.121579852917,185.421558011729,132.752787079054,150.659780559691,145.504739379672,136.993555592879,145.400747265004,155.819697610827,148.772164896344,136.750377599981,153.825447030613,132.490891066472
ACVR1B,154.068362291797,109.923139208845,141.715199072155,109.927008193384,149.391932525332,161.239138872653,140.063462026004,144.56431154575,121.673779338226,168.061377332741,144.928964351476,158.660137749946,118.186571939859,156.254121919996,147.287763766542,128.247581798745,136.539992403673,137.714574306526,133.820156774871,136.624517470363,157.068010522534,213.015011261508,175.80051089213,139.365418433129
